SID,ID,State,Total Pension Recipients,Male,Female
row-kmjv.k3ad_msaa,00000000-0000-0000-5CBF-8D5CCE7289AA,Alabama,4112,3857,251
row-9cvi_97vf_ii9z,00000000-0000-0000-B4CE-87AC386DC01D,Alaska,182,169,13
row-4v5k~awyw_q4m3,00000000-0000-0000-DC3E-16ECC0B45AFA,Arizona,3619,3374,244
row-m2xq.i6zx_7rpi,00000000-0000-0000-42E7-949BFB900ADA,Arkansas,2341,2228,112
row-7dyt~t2h2-2iy6,00000000-0000-0000-6C8D-BC66A5BE2D3B,California,14389,13728,649
row-ynby.35ct_wuq6,00000000-0000-0000-11FA-5E80E05B5588,Colorado,2158,2036,121
row-ezcr~6nmg_rvf7,00000000-0000-0000-6A1B-FF7AFD4960BC,Connecticut,920,867,50
row-pjuu.edhm~vsa5,00000000-0000-0000-997A-08B855A2B4AB,Delaware,251,0,0
row-iskc_rmz4.dh53,00000000-0000-0000-7B21-E9FB0B61F650,District of Columbia,363,351,10
row-tde2~zu6t-afix,00000000-0000-0000-82B5-61EA9984898A,Florida,13472,12758,702
row-7nez_ddcb-u38r,00000000-0000-0000-B30F-45B88C877DDF,Georgia,5448,5114,327
row-ggkn_dprd~uiwu,00000000-0000-0000-027E-224DE8D4AE99,Hawaii,448,425,23
row-xita.fpzz~9jjg,00000000-0000-0000-8F68-26279A4D920D,Idaho,870,810,58
row-k3gb.3qaq~jpwv,00000000-0000-0000-8699-57AADCD50382,Illinois,4334,4165,166
row-epxh~2vud-wxh3,00000000-0000-0000-F14C-DFAE58C18601,Indiana,2518,2362,154
row-cq6b_s2i7-9g52,00000000-0000-0000-119B-246778C9B617,Iowa,1420,1338,82
row-5348_k2g9.sgnu,00000000-0000-0000-0953-83569C608631,Kansas,1277,1215,62
row-xjiv_yydj_md6e,00000000-0000-0000-C6D7-55AF9103C048,Kentucky,2597,2456,139
row-fp54~tft7~crkz,00000000-0000-0000-37A9-075F850E383F,Louisiana,3299,3161,138
row-n9za.dfqx.z4b9,00000000-0000-0000-38B0-26A15C07A431,Maine,838,799,39
row-gq7b.min2_zabu,00000000-0000-0000-6A51-42EC7C3AD97B,Maryland,1825,1718,106
row-zutc.8btb-ye85,00000000-0000-0000-E0D6-DD7C16A875BD,Massachusetts,1723,1630,92
row-tfnt-8v4s_rzh6,00000000-0000-0000-DDFA-6D7E43C614A7,Michigan,4981,4746,232
row-94hz-akqg.puuw,00000000-0000-0000-60AE-D26D25EF1E4F,Minnesota,1826,1738,85
row-munc~4bse-a3cq,00000000-0000-0000-4494-D15068391ED5,Mississippi,1844,1743,101
row-q37v_7wnf.e79m,00000000-0000-0000-D425-4C2628AA81A0,Missouri,3728,3544,180
row-g85f_s2ui_wa4u,00000000-0000-0000-EEB5-80404A6C019D,Montana,758,724,34
row-iniy~p7jg.awdz,00000000-0000-0000-93F3-78105D25A7B8,Nebraska,688,656,32
row-56tj.pb4t~e6n4,00000000-0000-0000-7273-E77E927C6547,Nevada,1753,1639,114
row-77w3.9q83_irq9,00000000-0000-0000-786A-5BBE565135DF,New Hampshire,423,390,33
row-82w5-vc3r.avw3,00000000-0000-0000-8F11-1865B0FD57C5,New Jersey,1818,1749,63
row-wevv_7dyj-j9cs,00000000-0000-0000-A0BF-0ABFE35D3BD6,New Mexico,1356,1274,82
row-rnih~v7im_4ztd,00000000-0000-0000-73D5-26F0619C0FAC,New York,5760,5524,229
row-vxu4_73f9_vkpi,00000000-0000-0000-1273-2F0F13E046CE,North Carolina,4283,4021,258
row-h2ns.c8am-iicy,00000000-0000-0000-D781-D0A7F753A1F5,North Dakota,310,292,18
row-zg6w_gf7t-pufu,00000000-0000-0000-656D-A8C588DBD451,Ohio,7622,7219,401
row-nxdy_42qw~bq82,00000000-0000-0000-1892-DA929537F34D,Oklahoma,2134,2021,113
row-5bch.u95u_jad4,00000000-0000-0000-2122-7E6983FD0957,Oregon,2958,2795,162
row-6b5r_w538_bkhi,00000000-0000-0000-EBF6-BA1173F7BDDB,Pennsylvania,6111,5813,289
row-m722.3t29-cc73,00000000-0000-0000-9E25-09D7E7DF086E,Rhode Island,394,377,17
row-9fef_kvx9~q7iv,00000000-0000-0000-76FC-ED583BD689BA,South Carolina,2949,2783,164
row-f47h_yaru_gnxr,00000000-0000-0000-1740-05FF8C9F60EB,South Dakota,507,476,31
row-nc6i.5erf~a674,00000000-0000-0000-F29A-E7D6A0F99ADF,Tennessee,4027,3810,216
row-rsfe_6dqg~rc83,00000000-0000-0000-2B6D-2743B3281049,Texas,11749,11067,669
row-nva6_vma8~u4aj,00000000-0000-0000-2FB8-56CAD0FFBDCA,Utah,878,831,46
row-sty8~pimz~4vca,00000000-0000-0000-E823-83F1B98A9689,Vermont,215,0,0
row-px82~taic~fdwz,00000000-0000-0000-6B4C-CD98337E9BB8,Virginia,3054,2861,187
row-qh6z~sv4p.we2n,00000000-0000-0000-2DE0-108967FC3E2C,Washington,3111,2895,213
row-2fp6-z9rj~c8ms,00000000-0000-0000-4AF7-5A3D7F915CE4,West Virginia,1285,1229,55
row-w22p-x753_rn7f,00000000-0000-0000-8BDB-D21477BB44D2,Wisconsin,2446,2322,122
row-it5v.39iy-yxh8,00000000-0000-0000-7E29-23B624AEA0AC,Wyoming,238,228,10
row-h3hs_hcka-76b8,00000000-0000-0000-8A4C-56664AA26058,Puerto Rico,4031,3999,32
row-vcnb_bae9~ekp7,00000000-0000-0000-F4D4-63A4A0CC2299,US Territories (excluding Puerto Rico),73,0,0
row-t75p.umkd.uu6d,00000000-0000-0000-A638-1FA628121995,Other Foreign Countries,327,0,0
,,,,,
